school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;19;U;LE3;T;0;4;teacher;other;other;mother;1;1;0;yes;yes;no;yes;no;no;yes;yes;4;3;3;2;2;3;13;11;12;9
GP;M;16;R;LE3;A;4;2;other;health;home;mother;2;3;3;yes;yes;no;no;no;no;yes;no;3;2;3;1;5;2;68;8;2;8
GP;M;15;U;LE3;A;3;2;teacher;health;course;mother;4;4;1;no;yes;no;yes;yes;no;no;no;3;2;2;5;4;1;6;10;12;13
GP;M;21;R;GT3;T;0;4;services;services;home;father;4;2;0;no;yes;yes;no;yes;yes;no;yes;5;5;1;5;3;4;2;13;15;12
GP;F;18;U;LE3;A;0;4;health;health;other;other;2;3;0;no;yes;yes;no;no;no;no;no;1;2;2;1;3;1;75;5;9;6
GP;F;16;U;GT3;T;4;1;services;at_home;reputation;other;2;4;0;no;no;yes;yes;yes;no;no;no;4;4;1;1;1;4;43;9;12;13
GP;M;17;R;GT3;T;0;3;other;teacher;home;other;1;1;2;yes;yes;no;no;no;yes;no;yes;2;4;1;4;3;4;36;5;2;0
MS;F;18;R;LE3;T;4;4;teacher;services;home;mother;4;2;0;yes;yes;yes;yes;yes;no;yes;yes;5;5;1;5;1;4;74;7;8;10
MS;F;19;R;LE3;A;3;2;teacher;teacher;other;other;1;1;0;no;yes;no;yes;yes;no;no;yes;4;5;3;5;5;1;70;10;9;7
GP;F;17;R;GT3;T;2;1;services;other;other;father;1;1;0;no;yes;yes;no;yes;no;yes;no;5;4;5;1;1;1;19;3;4;4
GP;F;19;R;LE3;A;1;1;teacher;services;other;other;2;2;1;yes;no;yes;yes;no;no;yes;no;2;1;4;1;4;2;25;9;9;13
GP;F;15;U;GT3;A;2;0;services;services;other;other;3;1;0;no;yes;no;yes;yes;no;no;no;4;5;5;1;4;5;24;12;13;9
GP;M;21;U;GT3;A;0;2;other;services;other;father;4;3;0;yes;no;no;yes;no;no;yes;no;3;2;4;5;5;3;59;6;4;5
GP;F;19;R;LE3;T;2;1;health;health;home;mother;2;4;0;yes;no;no;yes;no;no;no;yes;2;1;1;4;2;2;66;6;8;6
GP;M;20;R;GT3;A;1;3;at_home;services;reputation;other;3;4;0;no;no;yes;no;yes;no;no;no;5;1;2;2;2;4;19;9;9;12
MS;F;18;R;GT3;T;4;3;at_home;teacher;course;father;4;4;0;yes;no;yes;no;no;no;yes;no;3;4;2;4;2;5;68;13;13;13
MS;F;22;U;LE3;A;3;2;health;at_home;course;father;4;3;1;no;no;yes;no;yes;yes;no;yes;1;1;1;2;2;1;19;11;12;12
MS;M;20;U;LE3;T;2;0;other;teacher;course;other;4;4;2;yes;yes;yes;yes;no;yes;yes;no;5;4;3;1;5;3;1;11;14;14
MS;F;21;U;GT3;A;3;3;other;services;course;mother;1;3;1;yes;no;no;no;yes;no;no;yes;4;2;3;3;3;3;35;5;6;6
MS;M;18;R;GT3;A;0;0;services;health;other;other;2;3;0;no;no;no;no;no;no;no;no;3;3;2;1;2;3;15;5;10;9
MS;M;19;U;LE3;A;1;2;health;services;home;other;2;3;0;yes;no;yes;no;yes;yes;no;no;4;4;3;2;1;3;61;11;9;11
GP;F;17;R;LE3;T;0;4;at_home;other;reputation;other;4;4;2;no;no;no;yes;yes;yes;yes;no;1;2;2;2;5;1;20;13;10;9
GP;M;19;R;LE3;T;2;4;health;at_home;home;other;2;2;2;yes;yes;yes;yes;no;no;no;yes;4;3;4;3;5;5;63;7;5;0
MS;F;16;U;LE3;A;4;0;health;at_home;other;father;2;4;0;no;yes;no;no;no;no;no;yes;2;3;4;4;3;4;70;11;12;12
MS;F;22;R;LE3;T;4;2;other;at_home;other;mother;2;3;0;no;no;no;yes;yes;yes;yes;no;5;1;5;4;1;2;14;8;10;7
